No;TEAM ;PLAYER;POSITION;GP;GS;Min;PTS;2P%;3P%;FT%;OR;DR;TR;AST;STL;TO;BLK;BLKA;FC;FD;PIR
1;PANATHINAIKOS;PANAGIOTIS KALAITZAKIS ;Guard;30;0;5:56:00;2,1;69;25;100;0,3;0,6;0,9;0,2;0,2;0,2;0;0;0,8;0,4;2,1
2;PANATHINAIKOS;LUCA VILDOZA;Guard;28;5;14:56:00;5,7;42;36,6;76,2;0,4;1,1;1,5;1,5;0,6;1;0;0,2;0,8;0,6;4,6
3;PANATHINAIKOS;KYLE GUY;Guard;8;1;10:38:00;4;71,4;31,6;80;0;0,9;0,9;0,8;0,2;1;0,1;0;1,2;0,6;2,4
4;PANATHINAIKOS;DIMITRIS MORAITIS;Guard;7;0;2:25:00;1,6;25;75;0;0;0,3;0,3;0,7;0,3;0,3;0;0,1;0,1;0;1,7
5;PANATHINAIKOS;ALEKSANDER BALCEROWSKI;Forward;24;9;7:36:00;2,8;62,9;11,1;70;0,6;0,8;1,3;0,3;0,2;0,3;0,4;0,1;1,5;1,2;3,1
6;PANATHINAIKOS;KOSTAS SLOUKAS;Guard;34;15;26:14:00;12,7;59,1;41,5;85,3;0,6;2,6;3,2;5,6;0,8;2,4;0;0,4;1,8;3;16,1
7;PANATHINAIKOS;ALEXANDROS SAMODUROV;Forward;1;0;1:22:00;3;0;100;0;0;0;0;1;0;0;0;0;0;0;3
8;PANATHINAIKOS;IOANNIS PAPAPETROU;Forward;16;4;17:05:00;5,6;46,9;51,6;80;0,4;1,6;2;0,7;0,2;0,4;0,2;0,2;1,4;0,9;5,4
9;PANATHINAIKOS;JERIAN GRANT;Guard;41;34;27:35:00;8,6;49,7;41,6;86,1;0,5;1,8;2,3;3,5;1,5;1,1;0,1;0,1;2,3;2,1;10,9
10;PANATHINAIKOS;KEDRICK NUNN;Guard;35;27;27:27:00;16;46,6;41;95,9;0,4;2,3;2,7;3;0,9;3,1;0,1;0,8;2,2;2,7;11,7
11;PANATHINAIKOS;MATHIAS LESSORT ;Center;41;29;29:40:00;13,9;62,6;0;60,7;2,3;4;6,3;1,4;1;1,8;0,9;0,5;2,7;6,7;19,6
12;PANATHINAIKOS;KOSTAS ANTETOKOUNMPO;Center;31;3;7:14:00;2,6;63,3;0;39,1;0,7;1;1,7;0,2;0,3;0,5;0,7;0,1;1,6;1,6;3,3
13;PANATHINAIKOS;MARIUS GRIGONIS;Guard;41;36;24:42:00;9,1;59,6;41,7;90;0,3;2,3;2,7;1,3;0,6;0,9;0;0,1;2,4;2;8,7
14;PANATHINAIKOS;JUANCHO HERNANGOMEZ;Forward;31;7;16:24:00;4,3;50;26,4;75,6;1;2,5;3,5;0,5;0,6;0,8;0,3;0,1;1,2;1,4;5,8
15;PANATHINAIKOS;KONSTANTINOS MITOGLOU;Forward;38;35;28:09:00;11,3;55,2;34,5;74,5;1,7;4,4;6,2;0,9;0,8;1;0,4;0,2;1,8;2,1;13,4
16;PANATHINAIKOS;ELEFTHERIOS MANTZOUKAS;Forward;14;0;7:17:00;1,9;25;66,7;33,3;0,3;0,7;1;0,1;0,1;0,1;0;0,1;0,8;0,1;1,6
17;REAL MADRID;FABIEN CASEUR;Forward;32;18;15:13:00;5,1;53;39,4;88,9;0,4;0,9;1,3;1,1;0,4;0,8;0,2;0,1;1,4;0,9;4,5
18;REAL MADRID;ISMAILA DIAGNE;Center;2;1;3:05:00;0;0;0;0;0;0;0;0;0;0,5;0;0;1,5;0;-2
19;REAL MADRID;RUDY FERNANDEZ;Forward;24;0;15:23:00;3,3;50;36,5;85,7;0,2;1,6;1,9;1,5;0,9;0,2;0;0;1,3;0,7;4,9
20;REAL MADRID;ALBERTO ABALDE;Forward;24;9;12:49:00;3,6;50;41,3;87,5;0,2;1,6;1,9;0,7;0,4;0,2;0;0,1;1;0,4;4
21;REAL MADRID;FACUNDO CAMPAZZO;Guard;37;36;25:17:00;11,5;57,8;32,2;86,6;0,6;2,3;2,9;6,5;1,3;2,4;0;0,2;2,4;4,5;16,7
22;REAL MADRID;HUGO GONZALEZ;Forward;6;1;4:24:00;0,7;100;0;100;0;0,2;0,2;0,3;0;0,3;0;0;1;0,5;-0,3
23;REAL MADRID;MARIO HEZONJA ;Forward;38;17;23:18:00;13,5;52,2;43,1;92,1;0,5;4,1;4,6;0,9;1;1,1;0,1;0,2;1,7;1,7;13,3
24;REAL MADRID;CARLOS ALOCEN;Guard;12;3;8:48:00;1,5;28,6;9,1;60;0,1;1,2;1,3;1,4;0,2;0,7;0,1;0,2;1;1,1;1,5
25;REAL MADRID;SERGIO RODRIGUEZ;Guard;32;0;15:11:00;4,4;35,6;35,6;87,5;0,1;1,2;1,4;4,2;0,5;1,5;0;0;2,2;0,8;4,5
26;REAL MADRID;GABRIEL DECK;Forward;28;15;21:13:00;9;68,4;35,8;87,8;0,7;2,6;3,2;1,1;0,6;0,9;0;0,2;1,9;1,8;9,9
27;REAL MADRID;VINCENT POIRIER;Center;37;5;18:21:00;9;67,5;40;70,6;2,2;3,1;5,3;0,6;0,4;0,8;1,5;0,1;2;1,9;13,4
28;REAL MADRID;WALTER TAVARES;Center;34;33;22:53:00;9,4;60,7;0;73,8;2,3;4,2;6,5;1,4;0,7;1,7;1,5;0,1;2,6;3;14,9
29;REAL MADRID;SERGIO LLULL;Guard;33;2;18:03:00;7,9;42,9;34;72,7;0,1;1,1;1,2;2;0,3;1,1;0;0;1,5;1,3;5,2
30;REAL MADRID;GUERSCHON YABUSELE;Forward;27;13;23:35:00;10,5;65,2;46,1;86,8;1;3,8;4,9;1;0,8;0,9;0,2;0,1;1,4;2,3;14,2
31;REAL MADRID;ELI NDIAYE;Forward;23;13;11:09:00;2,9;56,7;32;66,7;0,9;1,4;2,3;0,5;0,4;0,4;0,2;0,1;1,7;0,7;3,3
32;REAL MADRID;DZANAN MUSA ;Forward;38;29;21:01:00;13,5;61;41,3;81,9;0,7;2,1;2,7;2,2;0,3;1,2;0,2;0,4;1,2;3;14,5
33;OLYMPIAKOS;THOMAS WALKUP;Guard;40;40;26:24:00;7,8;47,3;30,2;76,5;0,6;2,4;3;4,8;1,6;1,8;0;0,2;2,6;1,7;9,3
34;OLYMPIAKOS;NIGEL WILLIAMS-GOSS;Guard;32;0;21:59:00;9,1;45,1;42;75,8;0,3;2;2,3;3,3;1,2;1,6;0;0,4;2,5;1,7;8,3
35;OLYMPIAKOS;MOSES WRIGHT;Center;17;2;13:53:00;8,1;71,4;50;61,5;1,1;1,8;2,9;0,5;0,9;0,7;0,6;0,3;1,6;2,2;10,2
36;OLYMPIAKOS;ISAIAH CANAAN ;Guard;41;41;23:03;11,1;54,6;42,5;88,2;0,2;1;1,2;1,4;0,9;1,1;0,1;0,2;2,3;1,8;8,4
37;OLYMPIAKOS;MICHALIS LOUNTZIS;Guard;14;1;8:17;1,5;41,7;11,8;62,5;0;0,6;0,6;0,4;0,3;0,4;0,1;0,2;0,9;0,6;0,2
38;OLYMPIAKOS;GIANNOULIS LARENTZAKIS;Guard;37;0;13:06;5,1;37,7;32,1;80,8;0,2;0,8;1;1,5;0,6;1;0,1;0,1;1,7;1,6;3,8
39;OLYMPIAKOS;GEORGE PAPAS;Guard;2;0;3:10;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0
40;OLYMPIAKOS;MOUSTAPHA FALL;Center;36;34;22:33;7,2;78,9;0;43,9;1,5;3,2;4,7;2,4;0,2;1,1;1,2;0,1;1,8;2,9;13,4
41;OLYMPIAKOS;KOSTAS PAPANIKOLAU;Forward;38;33;25:05:00;7,4;55,1;36,2;65,2;0,8;2,9;3,6;2,7;0,8;1,2;0,1;0,2;1,7;1,4;9,3
42;OLYMPIAKOS;IGNAS BRAZDEIKIS;Guard;27;5;10:51;3,6;38,4;22,6;74,1;0,5;1,2;1,7;0,6;0,2;0,3;0,1;0,3;1,3;1;2,4
43;OLYMPIAKOS;ALEC PETERS;Forward;40;40;25:26:00;13,1;58,6;53,5;87,8;1,2;3,6;4,8;1,6;0,4;1,3;0,1;0,4;2,2;2,2;14,4
44;OLYMPIAKOS;FILIP PETRUSEV;Center;22;1;15:37;6,3;50,6;28,6;78,3;0,4;2,9;3,3;0,6;0,3;0,7;0,5;0,4;1,5;2,2;7,8
45;OLYMPIAKOS;NIKOLA MILUTINOV;Center;27;4;18:06;7,8;61;0;82,2;2,5;3,1;5,6;0,9;0,3;1;0,6;0,1;0,9;3,4;14,3
46;OLYMPIAKOS;LUKE SIKMA;Forward;22;4;11:09;2,7;52,5;28,6;55;1,3;1,4;2,7;0,5;0,4;0,5;0,2;0,2;1,6;1,1;3,8
47;OLYMPIAKOS;GEORGIOS TANOULIS;Center;1;0;1:05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;OLYMPIAKOS;SHAQUIELLE MCKISSIC;Guard;32;0;16:20;7,3;58,6;34,6;71,2;0,5;1,1;1,6;1;1;1;0;0,2;1,3;1,9;6,8
49;FENERBAHCE;JONATHAN MOTLEY ;Center;36;19;18:43;11,2;65,5;25;70,9;1,9;2,2;4,2;1,1;0,2;2;0,2;0,2;3,2;4,1;12,2
50;FENERBAHCE;SEHMUS HAZER;Guard;6;0;5:40;0,3;0;0;50;0,2;0,5;0,7;0,2;0;0,2;0;0,2;0,5;0,7;0
51;FENERBAHCE;SCOTTIE WILBEKIN;Guard;41;18;24:40:00;13;42,6;40,1;87,5;0,5;1,7;2,2;3,3;1,1;1,7;0;0,1;1,8;2,6;12,5
52;FENERBAHCE;SERTAC SANLI;Center;35;16;12:13;4,7;53,1;35,1;78,3;0,6;1,4;2;0,5;0,1;0,5;0,3;0,1;2,5;1,1;3,3
53;FENERBAHCE;GEORGIOS PAPAGIANNIS ;Center;38;11;15:58;5,7;66,7;48,8;66,7;1;2;3,1;0,8;0,3;0,7;0,8;0;1,7;0,6;7,2
54;FENERBAHCE;MELIH MAHMUTOGLU;Guard;9;0;4:32;1,6;33,3;33,3;0;0;0,1;0,1;0,1;0,1;0;0;0;0,1;0;0,7
55;FENERBAHCE;NIGEL HAYES-DAVIS;Forward;37;36;31:30:00;13,8;56,2;37,2;83,2;1,5;3,1;4,6;1,7;1;1,2;0,2;0,3;2,1;3,9;15,6
56;FENERBAHCE;TARIK BIBEROVIC;Forward;31;6;16:13;7;50,8;53,1;92;0,5;1,7;2,2;0,7;0,3;0,8;0;0,2;2,1;0,8;5,6
57;FENERBAHCE;AMINE NOUA ;Forward;12;7;14:42;4,2;66,7;37,5;80;1,2;1,7;2,8;0,5;0,2;0,2;0,8;0,1;2,1;0,8;5,3
58;FENERBAHCE;DYSHAWN PIERRE ;Forward;27;24;19:47;5,6;54,1;30,2;91,7;1,4;2,5;3,9;1;0,6;0,4;0,1;0,1;1,2;1,2;8
59;FENERBAHCE;HAMZA MESTOGLU;Forward;1;0;2:25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;FENERBAHCE;MARKO GUDURIC;Guard;37;9;21:28;9,1;58,3;33,6;90,1;0,3;2,1;2,5;2,5;0,8;1,4;0;0,2;2,2;2,5;9,6
61;FENERBAHCE;TYLER DORSEY;Guard;38;16;17:36;8,7;42,7;45,4;8,1;0,4;1,4;1,8;1,2;0,2;1;0,1;0,3;1,5;2,2;7,5
62;FENERBAHCE;NICK CALATHES ;Guard;38;35;23:42;7,1;52,3;35,7;51,3;0,7;3,5;4,2;4,8;1,1;1,9;0,2;0,3;2,2;1,4;10,5
63;FENERBAHCE;YAM MADAR;Guard;30;4;13:31;4,3;55,6;32,5;82,9;0,3;0,8;1,2;2;0,6;0,9;0,1;0,1;1,6;1,3;4,8
64;FENERBAHCE;NATHAN SESTINA;Forward;35;4;11:29;3,6;61,8;38,5;58,8;0,4;1,2;1,5;0,4;0,3;0,2;0,2;0;1,7;0,5;2,9
